"Date(UTC)","UnixTimeStamp","Value"
"9/24/2020","1600905600","2"
"9/25/2020","1600992000","10"
"9/26/2020","1601078400","10"
"9/27/2020","1601164800","2"
"9/28/2020","1601251200","1"
"9/29/2020","1601337600","17"
"9/30/2020","1601424000","36"
"10/1/2020","1601510400","117"
"10/2/2020","1601596800","10"
"10/3/2020","1601683200","1"
"10/4/2020","1601769600","8"
"10/5/2020","1601856000","1"
"10/6/2020","1601942400","4"
"10/7/2020","1602028800","26"
"10/8/2020","1602115200","23"
"10/9/2020","1602201600","23"
"10/10/2020","1602288000","23"
"10/11/2020","1602374400","3"
"10/12/2020","1602460800","3"
"10/13/2020","1602547200","24"
"10/14/2020","1602633600","11"
"10/15/2020","1602720000","10"
"10/16/2020","1602806400","10"
"10/17/2020","1602892800","31"
"10/18/2020","1602979200","2"
"10/19/2020","1603065600","13"
"10/20/2020","1603152000","11"
"10/21/2020","1603238400","7"
"10/22/2020","1603324800","2"
"10/23/2020","1603411200","16"
"10/24/2020","1603497600","16"
"10/25/2020","1603584000","16"
"10/26/2020","1603670400","16"
"10/27/2020","1603756800","8"
"10/28/2020","1603843200","12"
"10/29/2020","1603929600","13"
"10/30/2020","1604016000","3"
"10/31/2020","1604102400","3"
"11/1/2020","1604188800","3"
"11/2/2020","1604275200","27"
"11/3/2020","1604361600","12"
"11/4/2020","1604448000","2"
"11/5/2020","1604534400","6"
"11/6/2020","1604620800","3"
"11/7/2020","1604707200","3"
"11/8/2020","1604793600","3"
"11/9/2020","1604880000","12"
"11/10/2020","1604966400","23"
"11/11/2020","1605052800","11"
"11/12/2020","1605139200","20"
"11/13/2020","1605225600","27"
"11/14/2020","1605312000","5"
"11/15/2020","1605398400","5"
"11/16/2020","1605484800","5"
"11/17/2020","1605571200","7"
"11/18/2020","1605657600","2"
"11/19/2020","1605744000","3"
"11/20/2020","1605830400","5"
"11/21/2020","1605916800","5"
"11/22/2020","1606003200","5"
"11/23/2020","1606089600","2"
"11/24/2020","1606176000","2"
"11/25/2020","1606262400","2"
"11/26/2020","1606348800","9"
"11/27/2020","1606435200","9"
"11/28/2020","1606521600","62"
"11/29/2020","1606608000","4"
"11/30/2020","1606694400","4"
"12/1/2020","1606780800","1"
"12/2/2020","1606867200","1"
"12/3/2020","1606953600","1"
"12/4/2020","1607040000","1"
"12/5/2020","1607126400","3"
"12/6/2020","1607212800","18"
"12/7/2020","1607299200","40"
"12/8/2020","1607385600","11"
"12/9/2020","1607472000","45"
"12/10/2020","1607558400","4"
"12/11/2020","1607644800","2"
"12/12/2020","1607731200","2"
"12/13/2020","1607817600","3"
"12/14/2020","1607904000","2"
"12/15/2020","1607990400","2"
"12/16/2020","1608076800","26"
"12/17/2020","1608163200","1"
"12/18/2020","1608249600","52"
"12/19/2020","1608336000","179"
"12/20/2020","1608422400","3850"
"12/21/2020","1608508800","4300"
"12/22/2020","1608595200","1305"
"12/23/2020","1608681600","5"
"12/24/2020","1608768000","4"
"12/25/2020","1608854400","4"
"12/26/2020","1608940800","4"
"12/27/2020","1609027200","2"
"12/28/2020","1609113600","550"
"12/29/2020","1609200000","2692"
"12/30/2020","1609286400","2736"
"12/31/2020","1609372800","2605"
"1/1/2021","1609459200","1851"
"1/2/2021","1609545600","12"
"1/3/2021","1609632000","41"
"1/4/2021","1609718400","20"
"1/5/2021","1609804800","3"
"1/6/2021","1609891200","45"
"1/7/2021","1609977600","42"
"1/8/2021","1610064000","4285"
"1/9/2021","1610150400","296"
"1/10/2021","1610236800","5"
"1/11/2021","1610323200","1639"
"1/12/2021","1610409600","363"
"1/13/2021","1610496000","10"
"1/14/2021","1610582400","18"
"1/15/2021","1610668800","19"
"1/16/2021","1610755200","46"
"1/17/2021","1610841600","17"
"1/18/2021","1610928000","23"
"1/19/2021","1611014400","29"
"1/20/2021","1611100800","24"
"1/21/2021","1611187200","10"
"1/22/2021","1611273600","45"
"1/23/2021","1611360000","46"
"1/24/2021","1611446400","9"
"1/25/2021","1611532800","1024"
"1/26/2021","1611619200","606"
"1/27/2021","1611705600","181"
"1/28/2021","1611792000","214"
"1/29/2021","1611878400","4041"
"1/30/2021","1611964800","258"
"1/31/2021","1612051200","135"
"2/1/2021","1612137600","101"
"2/2/2021","1612224000","382"
"2/3/2021","1612310400","6124"
"2/4/2021","1612396800","4575"
"2/5/2021","1612483200","3315"
"2/6/2021","1612569600","2762"
"2/7/2021","1612656000","2993"
"2/8/2021","1612742400","3363"
"2/9/2021","1612828800","16876"
"2/10/2021","1612915200","28659"
"2/11/2021","1613001600","163"
"2/12/2021","1613088000","9445"
"2/13/2021","1613174400","9720"
"2/14/2021","1613260800","10173"
"2/15/2021","1613347200","18042"
"2/16/2021","1613433600","15526"
"2/17/2021","1613520000","26096"
"2/18/2021","1613606400","28886"
"2/19/2021","1613692800","20767"
"2/20/2021","1613779200","19079"
"2/21/2021","1613865600","16018"
"2/22/2021","1613952000","14960"
"2/23/2021","1614038400","11939"
"2/24/2021","1614124800","14118"
"2/25/2021","1614211200","22710"
"2/26/2021","1614297600","15173"
"2/27/2021","1614384000","15495"
"2/28/2021","1614470400","14112"
"3/1/2021","1614556800","15538"
"3/2/2021","1614643200","15843"
"3/3/2021","1614729600","18554"
"3/4/2021","1614816000","20599"
"3/5/2021","1614902400","11868"
"3/6/2021","1614988800","10271"
"3/7/2021","1615075200","12018"
"3/8/2021","1615161600","13468"
"3/9/2021","1615248000","19387"
"3/10/2021","1615334400","15644"
"3/11/2021","1615420800","14084"
"3/12/2021","1615507200","14484"
"3/13/2021","1615593600","13681"
"3/14/2021","1615680000","14961"
"3/15/2021","1615766400","15213"
"3/16/2021","1615852800","16572"
"3/17/2021","1615939200","15008"
"3/18/2021","1616025600","16045"
"3/19/2021","1616112000","18607"
"3/20/2021","1616198400","19092"
"3/21/2021","1616284800","13455"
"3/22/2021","1616371200","15691"
"3/23/2021","1616457600","15535"
"3/24/2021","1616544000","11644"
"3/25/2021","1616630400","9618"
"3/26/2021","1616716800","9280"
"3/27/2021","1616803200","9698"
"3/28/2021","1616889600","42160"
"3/29/2021","1616976000","21608"
"3/30/2021","1617062400","16650"
"3/31/2021","1617148800","13180"
"4/1/2021","1617235200","27597"
"4/2/2021","1617321600","20352"
"4/3/2021","1617408000","17395"
"4/4/2021","1617494400","15315"
"4/5/2021","1617580800","19176"
"4/6/2021","1617667200","18320"
"4/7/2021","1617753600","16192"
"4/8/2021","1617840000","15267"
"4/9/2021","1617926400","12809"
"4/10/2021","1618012800","11652"
"4/11/2021","1618099200","9133"
"4/12/2021","1618185600","12010"
"4/13/2021","1618272000","10464"
"4/14/2021","1618358400","14408"
"4/15/2021","1618444800","12299"
"4/16/2021","1618531200","9298"
"4/17/2021","1618617600","9684"
"4/18/2021","1618704000","13571"
"4/19/2021","1618790400","14987"
"4/20/2021","1618876800","17848"
"4/21/2021","1618963200","22342"
"4/22/2021","1619049600","18915"
"4/23/2021","1619136000","16685"
"4/24/2021","1619222400","12057"
"4/25/2021","1619308800","12330"
"4/26/2021","1619395200","12917"
"4/27/2021","1619481600","11418"
"4/28/2021","1619568000","18232"
"4/29/2021","1619654400","19208"
"4/30/2021","1619740800","32835"
"5/1/2021","1619827200","39430"
"5/2/2021","1619913600","30443"
"5/3/2021","1620000000","32278"
"5/4/2021","1620086400","29097"
"5/5/2021","1620172800","26499"
"5/6/2021","1620259200","31101"
"5/7/2021","1620345600","32850"
"5/8/2021","1620432000","29149"
"5/9/2021","1620518400","27753"
"5/10/2021","1620604800","28176"
"5/11/2021","1620691200","27558"
"5/12/2021","1620777600","31537"
"5/13/2021","1620864000","31979"
"5/14/2021","1620950400","30316"
"5/15/2021","1621036800","28907"
"5/16/2021","1621123200","29297"
"5/17/2021","1621209600","30133"
"5/18/2021","1621296000","26261"
"5/19/2021","1621382400","34509"
"5/20/2021","1621468800","25634"
"5/21/2021","1621555200","22934"
"5/22/2021","1621641600","19001"
"5/23/2021","1621728000","25953"
"5/24/2021","1621814400","23268"
"5/25/2021","1621900800","20783"
"5/26/2021","1621987200","17551"
"5/27/2021","1622073600","15460"
"5/28/2021","1622160000","15035"
"5/29/2021","1622246400","14635"
"5/30/2021","1622332800","12306"
"5/31/2021","1622419200","13858"
"6/1/2021","1622505600","19506"
"6/2/2021","1622592000","16329"
"6/3/2021","1622678400","14751"
"6/4/2021","1622764800","13040"
"6/5/2021","1622851200","10669"
"6/6/2021","1622937600","9402"
"6/7/2021","1623024000","12734"
"6/8/2021","1623110400","12083"
"6/9/2021","1623196800","11746"
"6/10/2021","1623283200","11293"
"6/11/2021","1623369600","11146"
"6/12/2021","1623456000","9698"
"6/13/2021","1623542400","11060"
"6/14/2021","1623628800","12777"
"6/15/2021","1623715200","12148"
"6/16/2021","1623801600","12693"
"6/17/2021","1623888000","11843"
"6/18/2021","1623974400","9899"
"6/19/2021","1624060800","9081"
"6/20/2021","1624147200","10638"
"6/21/2021","1624233600","11841"
"6/22/2021","1624320000","12989"
"6/23/2021","1624406400","12486"
"6/24/2021","1624492800","13041"
"6/25/2021","1624579200","18849"
"6/26/2021","1624665600","15922"
"6/27/2021","1624752000","12645"
"6/28/2021","1624838400","8620"
"6/29/2021","1624924800","11914"
"6/30/2021","1625011200","9306"
"7/1/2021","1625097600","7504"
"7/2/2021","1625184000","8684"
"7/3/2021","1625270400","13190"
"7/4/2021","1625356800","10941"
"7/5/2021","1625443200","11233"
"7/6/2021","1625529600","12678"
"7/7/2021","1625616000","12233"
"7/8/2021","1625702400","11321"
"7/9/2021","1625788800","10893"
"7/10/2021","1625875200","8148"
"7/11/2021","1625961600","8597"
"7/12/2021","1626048000","10383"
"7/13/2021","1626134400","9460"
"7/14/2021","1626220800","10196"
"7/15/2021","1626307200","10022"
"7/16/2021","1626393600","10917"
"7/17/2021","1626480000","8934"
"7/18/2021","1626566400","8427"
"7/19/2021","1626652800","9273"
"7/20/2021","1626739200","9610"
"7/21/2021","1626825600","9839"
"7/22/2021","1626912000","8687"
"7/23/2021","1626998400","8832"
"7/24/2021","1627084800","8087"
"7/25/2021","1627171200","7878"
"7/26/2021","1627257600","12067"
"7/27/2021","1627344000","10337"
"7/28/2021","1627430400","10816"
"7/29/2021","1627516800","12954"
"7/30/2021","1627603200","10892"
"7/31/2021","1627689600","9026"
"8/1/2021","1627776000","10221"
"8/2/2021","1627862400","10290"
"8/3/2021","1627948800","9998"
"8/4/2021","1628035200","8923"
"8/5/2021","1628121600","8751"
"8/6/2021","1628208000","9855"
"8/7/2021","1628294400","9095"
"8/8/2021","1628380800","7863"
"8/9/2021","1628467200","10355"
"8/10/2021","1628553600","16516"
"8/11/2021","1628640000","15922"
"8/12/2021","1628726400","12821"
"8/13/2021","1628812800","13202"
"8/14/2021","1628899200","10001"
"8/15/2021","1628985600","9693"
"8/16/2021","1629072000","15851"
"8/17/2021","1629158400","21233"
"8/18/2021","1629244800","24919"
"8/19/2021","1629331200","37082"
"8/20/2021","1629417600","38669"
"8/21/2021","1629504000","54819"
"8/22/2021","1629590400","39809"
"8/23/2021","1629676800","48147"
"8/24/2021","1629763200","51037"
"8/25/2021","1629849600","52956"
"8/26/2021","1629936000","51893"
"8/27/2021","1630022400","55120"
"8/28/2021","1630108800","51727"
"8/29/2021","1630195200","49276"
"8/30/2021","1630281600","52186"
"8/31/2021","1630368000","43865"
"9/1/2021","1630454400","45557"
"9/2/2021","1630540800","45632"
"9/3/2021","1630627200","43060"
"9/4/2021","1630713600","38231"
"9/5/2021","1630800000","35788"
"9/6/2021","1630886400","44801"
"9/7/2021","1630972800","49546"
"9/8/2021","1631059200","44525"
"9/9/2021","1631145600","46110"
"9/10/2021","1631232000","54310"
"9/11/2021","1631318400","55156"
"9/12/2021","1631404800","54279"
"9/13/2021","1631491200","51759"
"9/14/2021","1631577600","46670"
"9/15/2021","1631664000","47815"
"9/16/2021","1631750400","50130"
"9/17/2021","1631836800","46247"
"9/18/2021","1631923200","46139"
"9/19/2021","1632009600","44537"
"9/20/2021","1632096000","50966"
"9/21/2021","1632182400","49078"
"9/22/2021","1632268800","44371"
"9/23/2021","1632355200","41145"
"9/24/2021","1632441600","41803"
"9/25/2021","1632528000","41212"
"9/26/2021","1632614400","41296"
"9/27/2021","1632700800","41744"
"9/28/2021","1632787200","41681"
"9/29/2021","1632873600","41599"
"9/30/2021","1632960000","41575"
"10/1/2021","1633046400","42370"
"10/2/2021","1633132800","41952"
"10/3/2021","1633219200","42062"
"10/4/2021","1633305600","42148"
"10/5/2021","1633392000","41870"
"10/6/2021","1633478400","42606"
"10/7/2021","1633564800","42590"
"10/8/2021","1633651200","42409"
"10/9/2021","1633737600","42451"
"10/10/2021","1633824000","42468"
"10/11/2021","1633910400","42259"
"10/12/2021","1633996800","41387"
"10/13/2021","1634083200","42172"
"10/14/2021","1634169600","41404"
"10/15/2021","1634256000","41248"
"10/16/2021","1634342400","41487"
"10/17/2021","1634428800","41392"
"10/18/2021","1634515200","41358"
"10/19/2021","1634601600","41517"
"10/20/2021","1634688000","42147"
"10/21/2021","1634774400","42655"
"10/22/2021","1634860800","42719"
"10/23/2021","1634947200","42698"
"10/24/2021","1635033600","42669"
"10/25/2021","1635120000","42605"
"10/26/2021","1635206400","42777"
"10/27/2021","1635292800","42653"
"10/28/2021","1635379200","42607"
"10/29/2021","1635465600","42640"
"10/30/2021","1635552000","42592"
"10/31/2021","1635638400","42696"
"11/1/2021","1635724800","42533"
"11/2/2021","1635811200","42549"
"11/3/2021","1635897600","42309"
"11/4/2021","1635984000","42174"
"11/5/2021","1636070400","42082"
"11/6/2021","1636156800","41800"
"11/7/2021","1636243200","41900"
"11/8/2021","1636329600","42473"
"11/9/2021","1636416000","42147"
"11/10/2021","1636502400","42666"
"11/11/2021","1636588800","42427"
"11/12/2021","1636675200","42452"
"11/13/2021","1636761600","42710"
"11/14/2021","1636848000","42535"
"11/15/2021","1636934400","43042"
"11/16/2021","1637020800","43002"
"11/17/2021","1637107200","43073"
"11/18/2021","1637193600","43119"
"11/19/2021","1637280000","42894"
"11/20/2021","1637366400","43091"
"11/21/2021","1637452800","43141"
"11/22/2021","1637539200","43008"
"11/23/2021","1637625600","43076"
"11/24/2021","1637712000","43059"
"11/25/2021","1637798400","43010"
"11/26/2021","1637884800","42910"
"11/27/2021","1637971200","42731"
"11/28/2021","1638057600","43077"
"11/29/2021","1638144000","43071"
"11/30/2021","1638230400","42739"
"12/1/2021","1638316800","42996"
"12/2/2021","1638403200","42632"
"12/3/2021","1638489600","43185"
"12/4/2021","1638576000","43340"
"12/5/2021","1638662400","43161"
"12/6/2021","1638748800","43456"
